"word","sentiment"
"ábaco","trust"
"abandono","fear"
"abandono","negative"
"abandono","sadness"
"abandonado","anger"
"abandonado","fear"
"abandonado","negative"
"abandonado","sadness"
"abandono","anger"
"abandono","fear"
"abandono","negative"
"abandono","sadness"
"abandono","surprise"
"abba","positive"
"abba","trust"
"abduction","fear"
"abduction","negative"
"abduction","sadness"
"abduction","surprise"
"abade","negative"
"rapto","disgust"
"rapto","negative"
"aberrante","anger"
"aberrante","disgust"
"aberrante","fear"
"aberrante","negative"
"aberração","anger"
"aberração","disgust"
"aberração","fear"
"aberração","negative"
"detestar","positive"
"abominável","disgust"
"abominável","negative"
"habilidade","disgust"
"habilidade","negative"
"abjeto","anger"
"abjeto","negative"
"anormal","negative"
"abolir","disgust"
"abolir","fear"
"abolir","negative"
"abolição","anger"
"abolição","disgust"
"abolição","fear"
"abolição","negative"
"abominável","negative"
"abortion","disgust"
"abortion","fear"
"abortion","negative"
"abortion","sadness"
"abominação","negative"
"abominação","sadness"
"abortar","positive"
"aborto","negative"
"abortivo","negative"
"mencionado acima","surprise"
"abrasão","negative"
"abrasão","sadness"
"revogar","fear"
"revogar","negative"
"revogar","sadness"
"abrupto","negative"
"abrupto","sadness"
"abscesso","negative"
"abscesso","sadness"
"ausência","negative"
"ausente","positive"
"ausente","joy"
"ausente","positive"
"ausente","trust"
"absorbed","positive"
"absentismo","negative"
"absoluto","negative"
"absolvição","anticipation"
"absolvição","disgust"
"absolvição","joy"
"absolvição","negative"
"absolvição","positive"
"absolvição","trust"
"absorvido","joy"
"absorvido","positive"
"absurdo","anger"
"absurdo","disgust"
"absurdo","fear"
"absurdo","negative"
"absurdo","sadness"
"absurdo","negative"
"absurdo","sadness"
"abyss","fear"
"abyss","negative"
"abyss","sadness"
"abundância","positive"
"abundância","trust"
"abundante","positive"
"Abuso","anticipation"
"abismal","positive"
"abismo","positive"
"acadêmico","positive"
"Academia","fear"
"Academia","negative"
"Academia","sadness"
"Academia","surprise"
"acelerar","fear"
"acelerar","negative"
"acelerar","surprise"
"aceitável","surprise"
"aceitação","anticipation"
"aceitação","joy"
"aceitação","positive"
"aceitação","surprise"
"aceitação","trust"
"acessível","positive"
"acidente","anticipation"
"acidente","joy"
"acidente","positive"
"acidente","trust"
"acidental","joy"
"acidental","positive"
"acidentalmente","joy"
"acidentalmente","positive"
"accolade","positive"
"alojamento","positive"
"alojamento","trust"
"acompanhamento","trust"
"realizar","positive"
"realizar","trust"
"realizado","positive"
"realizado","trust"
"realização","trust"
"acordo","trust"
"conta","positive"
"conta","trust"
"prestação de contas","positive"
"responsável","positive"
"responsável","trust"
"contador","anger"
"contador","fear"
"contador","negative"
"contador","sadness"
"contas","anger"
"contas","disgust"
"contas","negative"
"credenciada","negative"
"accueil","anger"
"accueil","fear"
"accueil","negative"
"preciso","anger"
"preciso","fear"
"preciso","negative"
"amaldiçoado","anger"
"amaldiçoado","fear"
"amaldiçoado","negative"
"acusação","positive"
"acusativo","negative"
"acusativo","sadness"
"acusado","joy"
"acusado","positive"
"acusado","trust"
"acusador","anticipation"
"acusador","joy"
"acusador","positive"
"acusador","trust"
"acusando","negative"
"acusando","sadness"
"ás","negative"
"dor","positive"
"alcançar","positive"
"realização","anticipation"
"realização","positive"
"acrobat","fear"
"acrobat","joy"
"acrobat","positive"
"acrobat","trust"
"doendo","positive"
"ácido","anger"
"ácido","disgust"
"ácido","negative"
"reconhecimento","positive"
"adquirir","positive"
"adquirir","positive"
"adapt","positive"
"acrobata","positive"
"açao","anger"
"açao","disgust"
"açao","fear"
"açao","negative"
"açao","sadness"
"acionável","negative"
"real","anticipation"
"real","positive"
"acuidade","positive"
"perspicácia","positive"
"adaptar","trust"
"adaptável","negative"
"adicionador","fear"
"adicionador","negative"
"vício","positive"
"endereços","trust"
"adepto","joy"
"adepto","positive"
"adepto","trust"
"adequação","positive"
"adequação","trust"
"aderindo","joy"
"aderindo","positive"
"aderindo","trust"
"adiposo","positive"
"adiposo","trust"
"julgar","positive"
"adjunto","positive"
"adjunto","trust"
"administrativo","fear"
"administrativo","negative"
"admirável","joy"
"admirável","positive"
"almirante","joy"
"almirante","positive"
"almirante","trust"
"admiração","anticipation"
"admiração","joy"
"admiração","positive"
"admiração","trust"
"admirar","anticipation"
"admirar","fear"
"admirar","negative"
"admirar","sadness"
"admirador","negative"
"admissível","disgust"
"admissível","negative"
"admissível","sadness"
"admoestação","anticipation"
"admoestação","fear"
"admoestação","joy"
"admoestação","positive"
"admoestação","surprise"
"adorável","positive"
"adoração","positive"
"adore","positive"
"à deriva","positive"
"adulterado","anticipation"
"adulterado","joy"
"adulterado","positive"
"adulterado","trust"
"adultério","anticipation"
"adultério","positive"
"avançar","positive"
"avançado","anger"
"avançado","negative"
"avanço","anger"
"avanço","disgust"
"avanço","fear"
"avanço","negative"
"avanço","sadness"
"vantagem","anger"
"vantagem","fear"
"vantagem","negative"
"vantagem","sadness"
"vantajoso","trust"
"advento","positive"
"advento","trust"
